C	376c155b-a0c1-4e40-af49-b382210c9640	5866	1348	0:729 131567:5 0:27 5866:5 0:140 131567:3 0:16 5866:5 0:49 1491:2 0:67 5866:5 0:40 5866:2 0:58 5866:5 0:55 131567:2 0:9 131567:4 0:86	Eukaryota|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia|Babesia bigemina
U	abd4a566-4eeb-43bf-ae5e-a90086b83cfd	0	646	0:612	||||||
U	75b4b645-dc85-4132-a27c-aa8473cf25c8	0	738	0:704	||||||
U	01a66b84-54bf-41fc-83cf-60acfd021081	0	1610	0:25 1883:2 0:1549	||||||
U	9e073e77-31ba-4baf-8aae-f5d20e5189fc	0	540	0:506	||||||
U	9d75d57f-2ba8-4f91-bbc3-b391e6155537	0	1355	0:1321	||||||
U	cf0ab4bd-a495-42b5-b95c-70932620080a	0	629	0:595	||||||
U	4f7a0486-1450-4468-817a-4d057936b1b5	0	2334	0:1905 9606:5 0:390	||||||
U	2307a054-1c2e-4cf9-854e-d437276111ea	0	1249	0:1215	||||||
C	2d7e6f2c-203a-4ab1-826b-65c132c271ef	5866	1204	0:153 5866:5 0:246 131567:5 0:391 5866:5 0:2 5866:5 0:127 131567:3 0:29 5866:1 0:21 131567:6 0:171	Eukaryota|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia|Babesia bigemina
U	193fc5f0-a255-4643-baa8-c12dedd4967b	0	798	0:764	||||||
U	54651178-5d71-41d2-9e9f-fc5e82aa70c1	0	1231	0:1197	||||||
U	400ef734-5053-4a17-ba77-56f2e7e123a4	0	1474	0:1440	||||||
U	4383e2b6-6e4c-4539-b0bb-7a43b9498866	0	751	0:717	||||||
U	ac586381-f402-4134-acbf-b9d5586597a5	0	982	0:599 131567:3 0:346	||||||
C	56364a70-f683-49a3-9aca-5617410f0a20	5866	1599	0:666 1491:1 0:295 5866:1 0:8 5866:5 0:259 131567:3 0:327	Eukaryota|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia|Babesia bigemina
C	4148ab22-199f-47ab-ac4e-39271ebc9588	5866	2730	0:1017 9606:1 0:375 5866:4 0:103 5866:1 0:106 131567:6 0:1083	Eukaryota|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia|Babesia bigemina
C	aa77dc0b-581f-403c-aa37-c8831dc9df82	5866	1498	0:819 5866:2 0:90 5866:3 0:156 1491:3 0:55 5866:3 0:333	Eukaryota|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia|Babesia bigemina
U	91e28d23-3028-4650-be94-17605699738f	0	1302	0:1268	||||||
U	9a16cba0-0a34-4e47-915e-0ab0296b721d	0	788	0:754	||||||
C	42e42d37-9574-4a8e-91dd-88d532633fe6	9606	1338	0:1188 9606:5 0:9 9606:3 0:8 9606:1 0:90	Eukaryota|Chordata|Mammalia|Primates|Hominidae|Homo|Homo sapiens
C	7d8af64d-5b4f-4dd8-99da-0ffeff1fc700	1491	561	0:167 1491:5 0:5 1491:2 0:6 1491:3 0:20 1239:5 0:9 131567:3 0:131 131567:1 0:33 131567:1 0:12 131567:5 0:42 131567:1 0:35 131567:4 0:37	Bacteria|Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium botulinum
C	1018aca2-7810-4c8a-a799-fb2520e0a541	5866	1037	0:372 9606:2 0:53 9606:5 0:191 131567:6 0:125 5866:5 0:58 5866:4 0:14 5866:5 0:20 131567:1 0:142	Eukaryota|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia|Babesia bigemina
C	9e02d2b8-6b06-4fb7-ac4a-5749d4545507	9606	1314	0:678 9606:1 0:9 9606:5 0:587	Eukaryota|Chordata|Mammalia|Primates|Hominidae|Homo|Homo sapiens
C	2593e93e-68b9-4f65-b441-a97180fa2487	1491	1713	0:208 1491:5 0:625 1491:1 0:75 1491:4 0:177 1491:5 0:132 1491:6 0:56 1491:3 0:48 1491:4 0:17 1491:1 0:51 1491:4 0:257	Bacteria|Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium botulinum
U	7f6cddb3-9b11-413c-8bc6-aa402d367bef	0	682	0:648	||||||
C	1528f9da-f7d1-439d-a7a0-0f956a39acc7	9606	1411	0:178 9606:5 0:403 9606:5 0:221 9606:5 0:19 9606:5 0:186 9606:5 0:2 9606:2 0:341	Eukaryota|Chordata|Mammalia|Primates|Hominidae|Homo|Homo sapiens
C	f40318a2-0c75-4d12-8e93-84228be99e53	5866	617	0:189 131567:10 0:61 5866:1 0:153 5866:5 0:94 131567:2 0:5 131567:4 0:1 131567:3 0:9 131567:5 0:41	Eukaryota|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia|Babesia bigemina
U	42b5684d-691f-4cc2-9792-0fecbef58153	0	878	0:844	||||||
U	20672f48-1011-4f74-8bf2-18af3ec74aba	0	577	0:543	||||||
U	d33e4904-96ca-4a58-9b4f-536571b471fd	0	635	0:601	||||||
